,rank_date,rank,country_full,country_abrv,cur_year_avg_weighted,two_year_ago_weighted,three_year_ago_weighted,weighted_points
1219349,2018-06-07,29.0,Northern Ireland,NIR,347.03,142.38,113.82,603.23
1228419,2018-06-07,53.0,Norway,NOR,414.26,96.08,54.71,565.05
1237489,2018-06-07,84.0,Oman,OMA,259.44,57.8,16.49,333.73
1246559,2018-06-07,201.0,Pakistan,PAK,0.0,0.0,10.17,10.17
1253666,2018-06-07,99.0,Palestine,PLE,204.74,62.11,11.51,278.36
1262736,2018-06-07,55.0,Panama,PAN,276.92,97.89,41.86,416.67
1270662,2018-06-07,166.0,Papua New Guinea,PNG,0.0,39.53,0.0,39.53
1279732,2018-06-07,32.0,Paraguay,PAR,410.36,146.19,21.29,577.8399999999999
1288802,2018-06-07,11.0,Peru,PER,560.36,126.58,44.4,731.34
1297872,2018-06-07,115.0,Philippines,PHI,151.51,62.4,13.54,227.45
1306942,2018-06-07,8.0,Poland,POL,499.9,112.55,121.69,734.1399999999999
1316012,2018-06-07,4.0,Portugal,POR,646.92,155.33,125.53,927.78
1325082,2018-06-07,173.0,Puerto Rico,PUR,8.5,68.39,11.7,88.59
1334152,2018-06-07,98.0,Qatar,QAT,154.74,78.24,32.34,265.32000000000005
1343360,2018-06-07,31.0,Republic of Ireland,IRL,331.96,149.49,68.11,549.56
1352430,2018-06-07,30.0,Romania,ROU,403.1,89.57,170.74,663.4100000000001
1361500,2018-06-07,70.0,Russia,RUS,166.07,108.68,73.7,348.45
1369707,2018-06-07,136.0,Rwanda,RWA,89.97,48.54,42.56,181.07
1377577,2018-06-07,197.0,Samoa,SAM,0.0,31.88,0.0,31.88
1386647,2018-06-07,203.0,San Marino,SMR,0.0,0.0,7.92,7.92
1395717,2018-06-07,67.0,Saudi Arabia,KSA,143.89,114.27,27.02,285.17999999999995
1404787,2018-06-07,42.0,Scotland,SCO,373.23,64.88,79.22,517.33
1413857,2018-06-07,27.0,Senegal,SEN,368.23,84.09,116.99,569.3100000000001
1418414,2018-06-07,34.0,Serbia,SRB,417.12,91.57,38.5,547.19
1428787,2018-06-07,188.0,Seychelles,SEY,22.42,17.5,5.02,44.94
1437857,2018-06-07,111.0,Sierra Leone,SLE,190.06,48.55,18.7,257.31
1446927,2018-06-07,169.0,Singapore,SIN,29.88,38.14,13.11,81.13
1455894,2018-06-07,28.0,Slovakia,SVK,332.12,97.77,147.46,577.35
1464964,2018-06-07,56.0,Slovenia,SVN,247.01,61.18,62.56,370.75
1474034,2018-06-07,143.0,Solomon Islands,SOL,137.33,26.78,0.0,164.11
1482605,2018-06-07,206.0,Somalia,SOM,0.0,0.0,0.0,0.0
1491675,2018-06-07,74.0,South Africa,RSA,186.63,80.6,58.19,325.42
1493805,2018-06-07,156.0,South Sudan,SSD,26.63,47.81,0.0,74.44
